"field_code","label","data_type","pillar","category","polarity","unit","definition","definition_source"
"TR.TRESGHumanRightsScore","Human Rights Category Score","Numeric (0-100)","Social","Human Rights","Positive","Score 0–100","Measures a company's effectiveness towards respecting the fundamental human rights conventions. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
"TR.TRESGCommunityScore","Community Category Score","Numeric (0-100)","Social","Community","Positive","Score 0–100","Measures the company's commitment towards being a good citizen, protecting public health and respecting business ethics. Equal weight assigned across all industry groups as it is considered equally important to all industries. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
"TR.TRESGProductResponsibilityScore","Product Responsibility Category Score","Numeric (0-100)","Social","Product Responsibility","Positive","Score 0–100","Reflects a company's capacity to produce quality goods and services integrating the customer's health and safety, integrity and data privacy. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
"TR.TRESGManagementScore","Management Category Score","Numeric (0-100)","Governance","Management","Positive","Score 0–100","Measures a company's commitment and effectiveness towards following best practice corporate governance principles. Percentile rank score benchmarked against country of incorporation.","[M19] Appendix; [M22]"
"TR.TRESGShareholdersScore","Shareholders Category Score","Numeric (0-100)","Governance","Shareholders","Positive","Score 0–100","Measures a company's effectiveness towards equal treatment of shareholders and the use of anti-takeover devices. Percentile rank score benchmarked against country of incorporation.","[M19] Appendix; [M22]"
"TR.TRESGCSRStrategyScore","CSR Strategy Category Score","Numeric (0-100)","Governance","CSR Strategy","Positive","Score 0–100","Reflects a company's practices to communicate that it integrates the economic (financial), social and environmental dimensions into its day-to-day decision-making processes. Percentile rank score benchmarked against country of incorporation.","[M19] Appendix; [M22]"
"TR.CO2ESTIMATIONMETHOD","CO2 Estimation Method","Text/Categorical","Environmental","Emissions","Categorical","Text","The method used by the company to estimate or calculate its greenhouse gas emissions when direct measurement is not performed. Values include 'Reported' (company-disclosed figure), 'Estimated' (modelled by LSEG when not reported), and variants thereof.","[M22] Step 1; [M22] materiality matrix — TR.AnalyticCO2 is the proxy variable for the Emissions category"
"TR.METHANEEMISSIONS","Methane Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes CO2e","Total methane (CH4) emissions reported by the company, expressed in metric tonnes of CO2 equivalent. Particularly material for oil and gas, agriculture, and waste management sectors.","[GRI 305-1/305-2]; [M22]"
"TR.OZONEDEPLETINGSUBSTANCES","Ozone-Depleting Substances Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes CFC-11 equivalent","Total emissions of ozone-depleting substances (ODS) such as CFCs and HCFCs, expressed in metric tonnes of CFC-11 equivalent.","[GRI 305-6]; [M22]"
"TR.NOXEMISSIONS","NOx Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total nitrogen oxide (NOx) emissions from company operations, expressed in metric tonnes.","[GRI 305-7]; [M22]"
"TR.SOXEMISSIONS","SOx Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total sulphur oxide (SOx) emissions from company operations, expressed in metric tonnes.","[GRI 305-7]; [M22]"
"TR.VOCEMISSIONS","VOC Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total volatile organic compound (VOC) emissions from company operations, expressed in metric tonnes.","[GRI 305-7]; [M22]"
"TR.NOXSOXEMISSIONSREDUCTION","NOx and SOx Emissions Reduction Programme","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a programme or initiative specifically aimed at reducing its nitrogen oxide (NOx) and sulphur oxide (SOx) air emissions?","[M19] Appendix A — listed as a scored data point in the Emissions category example"
"TR.VOCEMISSIONSREDUCTION","VOC Emissions Reduction Programme","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a specific programme or initiative to reduce volatile organic compound (VOC) emissions from its operations or products?","[M22] scored data point, Emissions category"
"TR.PMREDUCTION","Particulate Matter Reduction Programme","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a programme to reduce particulate matter (PM) emissions from its operations?","[M22] scored data point, Emissions category"
"TR.STAFFTRANSPORTATIONREDUCTION","Staff Transportation Impact Reduction","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a programme or initiative to reduce the environmental impact of employee commuting and business travel? Listed as 'Staff transportation impact reduction' in the Emissions category scoring example.","[M19] Appendix A — explicitly listed as scored data point in Emissions category example; [M22]"
"TR.COMMITMENTTOALIGNDISCLOSURESWITHTCFDRECOMMENDATIONS","Commitment to Align Disclosures with TCFD Recommendations","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company made a public commitment to align its climate-related financial disclosures with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD)?","[M22] scored data point, Emissions category; [TCFD]"
"TR.REPORTINGAGAINSTTHETCFDRECOMMENDATIONS","Reporting Against TCFD Recommendations","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company currently report climate-related information structured against the four TCFD pillars: governance, strategy, risk management, and metrics and targets?","[M22] scored data point, Emissions category; [TCFD]"
"TR.PCAFQUALITYSCOPE1EST","PCAF Data Quality Score – Scope 1 (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","Data quality score for Scope 1 (direct) financed emissions estimates under the PCAF Global GHG Accounting and Reporting Standard. Scale 1–5: score 1 = highest quality (reported audited data); score 5 = lowest quality (modelled/estimated). Applicable to financial institutions reporting financed emissions.","[PCAF] Global GHG Accounting and Reporting Standard for the Financial Industry, 2022; [M22]"
"TR.PCAFQUALITYSCOPE2EST","PCAF Data Quality Score – Scope 2 (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","Data quality score for Scope 2 (energy indirect) financed emissions estimates under the PCAF standard. Scale 1–5: score 1 = highest quality; score 5 = lowest quality.","[PCAF] 2022; [M22]"
"TR.PCAFQUALITYSCOPE1AND2EST","PCAF Data Quality Score – Scope 1 and 2 (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","Combined PCAF data quality score covering both Scope 1 and Scope 2 financed emissions estimates. Scale 1–5.","[PCAF] 2022; [M22]"
"TR.PCAFQUALITYSCOPE3UPSTREAMEST","PCAF Data Quality Score – Scope 3 Upstream (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","PCAF data quality score for Scope 3 upstream (supply chain) financed emissions estimates. Scale 1–5.","[PCAF] 2022; [M22]"
"TR.PCAFQUALITYSCOPE3DOWNSTREAMEST","PCAF Data Quality Score – Scope 3 Downstream (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","PCAF data quality score for Scope 3 downstream (use of sold products) financed emissions estimates. Scale 1–5.","[PCAF] 2022; [M22]"
"TR.PCAFQUALITYSCOPE3EST","PCAF Data Quality Score – Scope 3 Total (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","Combined PCAF data quality score for all Scope 3 financed emissions estimates (upstream and downstream). Scale 1–5.","[PCAF] 2022; [M22]"
"TR.PCAFQUALITYSCOPE1AND2AND3EST","PCAF Data Quality Score – All Scopes (Estimated)","Numeric","Environmental","Emissions","Positive","Score 1–5 (1=best)","Overall PCAF data quality score covering Scope 1, 2, and 3 financed emissions estimates. Scale 1–5: 1 = highest quality; 5 = lowest quality.","[PCAF] 2022; [M22]"
"TR.WASTETOTAL","Total Waste Generated","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total waste generated by the company's operations, including both hazardous and non-hazardous waste streams.","[GRI 306-3]; [M22]"
"TR.HAZARDOUSWASTE","Hazardous Waste Generated","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total hazardous waste generated, as defined by applicable national or international regulations.","[GRI 306-3]; [M22]"
"TR.NONHAZARDOUSWASTE","Non-Hazardous Waste Generated","Numeric","Environmental","Emissions","Negative","Metric tonnes","Total non-hazardous waste generated by the company's operations.","[GRI 306-3]; [M22]"
"TR.WASTERECYCLEDTOTAL","Total Waste Recycled","Numeric","Environmental","Emissions","Positive","Metric tonnes","Total waste diverted from disposal through recycling, reuse, or recovery.","[GRI 306-4]; [M22]"
"TR.WASTEREDUCTIONINITIATIVES","Waste Reduction Initiatives","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have specific operational initiatives or programmes to reduce waste generation at source in its own operations?","[M19] Appendix A — listed as 'Waste reduction initiatives' in Emissions category example; [M22]"
"TR.EWASTEREDUCTION","Electronic Waste (e-Waste) Reduction Initiatives","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have specific initiatives to reduce electronic waste (e-waste), including product take-back schemes or responsible e-waste recycling? Listed explicitly as 'e-Waste reduction' in the Emissions category scoring example.","[M19] Appendix A — listed as scored data point in Emissions category example"
"TR.POLICYWASTE","Waste Reduction Policy","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a formal, documented waste management policy covering waste reduction, reuse, and recycling?","[M22] scored data point, Emissions category"
"TR.TARGETSWASTE","Waste Reduction Targets","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company set specific, time-bound targets for reducing waste generation or increasing waste diversion from landfill?","[M22] scored data point, Emissions category"
"TR.COSTOFPOLLUTIONANDWASTE","Cost of Pollution and Waste","Numeric","Environmental","Emissions","Negative","Local currency","Financial costs incurred by the company related to pollution control, waste management, and environmental compliance.","[GRI 307]; [M22]"
"TR.POLICYPOLLUTION","Pollution Prevention Policy","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a formal policy addressing the prevention and reduction of pollution to air, water, and land from its operations?","[M22] scored data point, Emissions category"
"TR.TARGETSPOLLUTION","Pollution Reduction Targets","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company set quantitative targets for reducing specific pollutant emissions beyond GHGs?","[M22] scored data point, Emissions category"
"TR.WATERDISCHARGED","Water Discharged","Numeric","Environmental","Emissions","Negative","Megalitres (ML)","Total volume of water discharged by the company's operations, including discharges to surface water, groundwater, and third-party treatment.","[GRI 303-4]; [M22]"
"TR.WATERPOLLUTANTEMISSIONS","Water Pollutant Emissions","Numeric","Environmental","Emissions","Negative","Metric tonnes or ML","Total volume or mass of pollutants discharged to water bodies, including nutrients, heavy metals, and other regulated substances.","[GRI 303-4]; [M22]"
"TR.FACILITIESWATERDISCHARGE","Facilities Reporting Water Discharge","Numeric","Environmental","Emissions","Positive","Number of facilities","Number or percentage of company facilities for which water discharge data is collected and reported.","[GRI 303-4]; [M22]"
"TR.BIODIVERSITYIMPACTREDUCTION","Biodiversity Impact Reduction Initiatives","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have specific initiatives to reduce its negative impacts on biodiversity and ecosystems, such as no-net-loss commitments or habitat restoration? Listed explicitly as 'Biodiversity impact reduction' in the Emissions category scoring example.","[M19] Appendix A — scored data point in Emissions category example; [M22]"
"TR.BIODIVERSITYDUEDILIGENCE","Biodiversity Due Diligence","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company conduct due diligence to identify, assess, and address biodiversity-related risks and impacts associated with its operations and supply chains?","[M22] scored data point, Emissions category"
"TR.BIODIVERSITYRISKASSESSMENT","Biodiversity Risk Assessment","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company formally assess risks to its business arising from biodiversity loss and ecosystem degradation?","[M22] scored data point, Emissions category"
"TR.BIODIVERSITYTARGETS","Biodiversity Targets","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company set specific, measurable targets related to biodiversity conservation or the reduction of its biodiversity footprint?","[M22] scored data point, Emissions category"
"TR.BIODIVERSITYCOMMITMENT","Biodiversity Commitment","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company made a high-level policy commitment on protecting biodiversity and natural ecosystems?","[M22] scored data point, Emissions category"
"TR.BIODIVERSITYNETPOSITIVEIMPACT","Biodiversity Net Positive Impact Commitment","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company committed to achieving a net positive impact on biodiversity — i.e., that its positive contributions to biodiversity exceed its negative impacts?","[M22] scored data point, Emissions category"
"TR.ISO14000","ISO 14001 or EMAS Certification","Text/Categorical","Environmental","Emissions","Positive","Text (e.g. 'ISO 14000', 'No')","Indicates whether the company or a significant portion of its operations hold ISO 14001 environmental management system certification or the EU Eco-Management and Audit Scheme (EMAS). Listed as a scored data point in the Emissions category. In the dataset, values include 'ISO 14000' or 'No'.","[M19] Appendix A — listed as scored data point in Emissions category example; [M22]"
"TR.ENVRESTORATIONINITIATIVES","Environmental Restoration Initiatives","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have programmes to restore or rehabilitate degraded ecosystems or environments affected by its operations? Listed explicitly as 'Environmental restoration initiatives' in the Emissions category scoring example.","[M19] Appendix A — scored data point in Emissions category example"
"TR.ENVINVESTMENTS","Environmental Investments Reported","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company disclose specific investments made in environmental improvement projects or clean technology beyond regulatory compliance?","[M22] scored data point, Emissions category"
"TR.ENVEXPENDITURES","Environmental Expenditures","Numeric","Environmental","Emissions","Positive","Local currency","Total expenditures on environmental protection and compliance, including operational costs for waste management, pollution control, and remediation. Listed explicitly as 'Environmental expenditures investments' in the Emissions category scoring example.","[GRI 307]; [M19] Appendix A — scored data point in Emissions category example"
"TR.ENVPROVISIONS","Environmental Provisions","Numeric","Environmental","Emissions","Negative","Local currency","Financial provisions (reserves) set aside by the company for anticipated future environmental liabilities such as site remediation or environmental litigation.","[M22] scored data point, Emissions category"
"TR.ENVPARTNERSHIPS","Environmental Partnerships","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have formal partnerships with NGOs, governmental bodies, or industry associations focused on environmental protection? Listed explicitly as 'Environmental partnerships' in the Emissions category scoring example.","[M19] Appendix A — scored data point in Emissions category example"
"TR.POLICYNUCLEARSAFETY","Nuclear Safety Policy","Boolean","Environmental","Emissions","Positive","Yes/No","Does the company have a formal policy on nuclear safety? Relevant primarily to utilities, energy companies, and defence contractors with nuclear operations.","[M22] scored data point, Emissions category"
"TR.ENVIRONMENTALDATAASSURANCESTANDARD","Environmental Data Assurance Standard","Text/Categorical","Environmental","Emissions","Positive","Text (standard name)","The international standard used to externally assure or verify the company's environmental data (e.g., ISAE 3000, AA1000AS, GRI).","[M22] scored data point, Emissions category"
"TR.ENVIRONMENTALDATAINDEPENDENTVERIFICATION","Environmental Data Independent Verification","Boolean","Environmental","Emissions","Positive","Yes/No","Has the company's environmental data (e.g. GHG emissions, water use, waste) been externally verified or assured by an independent third party?","[M22] scored data point, Emissions category"
"TR.ENVPRODUCTS","Environmental Products and Services","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company derive revenue from products or services that have a net positive environmental benefit (e.g. renewable energy equipment, pollution control technology, water purification)? Proxy variable for the Innovation category materiality matrix.","[M22] materiality matrix — listed as proxy for Innovation category (TR.EnvProducts, 'Product innovation' theme)"
"TR.ECODESIGNPRODUCTS","Eco-Design Products","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company apply eco-design or design-for-environment principles in product development, including lifecycle assessments or designing for end-of-life recyclability?","[M22] scored data point, Innovation category"
"TR.ENVRD","Environmental R&D Expenditure","Numeric","Environmental","Innovation","Positive","Local currency","Total expenditure on R&D focused on environmental technologies, clean energy, or resource efficiency. Proxy variable for the Innovation category materiality matrix (green R&D theme).","[M22] materiality matrix — listed as proxy for Innovation category (TR.AnalyticEnvRD, 'Green revenues, R&D and CapEx' theme)"
"TR.POLLUTIONRESOURCEWASTERANDD","Pollution, Resource Use and Waste R&D","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have dedicated R&D programmes aimed at reducing pollution, improving resource efficiency, or solving waste management challenges?","[M22] scored data point, Innovation category"
"TR.LIFECYCLEANALYSIS","Life Cycle Analysis","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company conduct formal life cycle assessments (LCA) for its products or services to evaluate environmental impact from raw material extraction to end-of-life disposal?","[M22] scored data point, Innovation category"
"TR.REVENUEENVPRODUCTS","Revenue from Environmental Products","Numeric","Environmental","Innovation","Positive","% or local currency","Percentage or total value of company revenues derived from products or services with clear environmental benefits.","[M22] scored data point, Innovation category"
"TR.TAKEBACKRECYCLINGINITIATIVES","Take-Back and Recycling Initiatives","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have product take-back or recycling programmes enabling customers to return used products for responsible disposal or material recovery?","[M22] scored data point, Innovation category"
"TR.PRODUCTENVRESPONSIBLEUSE","Product Environmental Responsible Use Initiatives","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company provide customers with guidance, labelling, or programmes to promote the environmentally responsible use and disposal of its products?","[M22] scored data point, Innovation category"
"TR.CLEANENERGYPRODUCTS","Clean Energy Products and Services","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company manufacture or provide products and services that directly enable clean energy generation or distribution (e.g. solar panels, wind turbines, energy storage systems)?","[M22] scored data point, Innovation category"
"TR.HYBRIDVEHICLES","Hybrid or Electric Vehicles in Fleet","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have hybrid, plug-in hybrid, or full electric vehicles in its corporate fleet?","[M22] scored data point, Innovation category"
"TR.NOISEREDUCTION","Noise Reduction Initiatives","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have programmes to reduce noise pollution from its operations or products? Relevant for transport, aviation, construction, and manufacturing.","[M22] scored data point, Innovation category"
"TR.WATERTECHNOLOGIES","Water Technologies Products","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company produce or provide technologies, products, or services for water treatment, purification, desalination, or water efficiency?","[M22] scored data point, Innovation category"
"TR.SUSTAINABLEBUILDINGPRODUCTS","Sustainable Building Products","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company manufacture or sell products designed specifically for sustainable or low-energy building construction?","[M22] scored data point, Innovation category"
"TR.REALESTATESUSTAINABILITYCTFS","Real Estate Sustainability Certifications","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company's real estate portfolio hold sustainability certifications such as LEED, BREEAM, or ENERGY STAR?","[M22] scored data point, Innovation category"
"TR.GREENBUILDINGS","Green Buildings","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company own, occupy, or construct buildings certified under a recognised green building standard?","[M22] scored data point, Innovation category"
"TR.LABELEDWOOD","Certified or Labelled Wood Products","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company source or sell wood or paper products carrying recognised sustainable forestry certifications such as FSC or PEFC?","[M22] scored data point, Innovation category"
"TR.ORGANICPRODUCTSINITIATIVES","Organic Products Initiatives","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have programmes to develop, source, or expand organic-certified products in its portfolio?","[M22] scored data point, Innovation category"
"TR.GMOPRODUCTS","GMO Products Policy","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have a policy on the use of genetically modified organisms (GMOs) in its products or supply chain?","[M22] scored data point, Innovation category"
"TR.AGROCHEMICALPRODUCTS","Agrochemical Products Policy","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company manufacture or use agrochemicals and have policies to manage the environmental and health risks of their use?","[M22] scored data point, Innovation category"
"TR.ANIMALTESTING","Animal Testing Policy","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have a policy on the use of animal testing for product development or safety assessment?","[M22] scored data point, Innovation category"
"TR.ANIMALTESTINGCOSMETICS","Animal Testing – Cosmetics Policy","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have a specific policy prohibiting or restricting the use of animal testing for cosmetic products?","[M22] scored data point, Innovation category"
"TR.ANIMALTESTINGREDUCTION","Animal Testing Reduction Initiatives","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company have active initiatives to reduce the use of animals in testing through the development and adoption of alternative testing methods?","[M22] scored data point, Innovation category"
"TR.ENVAUM","Environmental Assets Under Management","Numeric","Environmental","Innovation","Positive","USD","Total value of assets under management (AUM) that are screened or managed according to environmental or sustainability criteria. Industry-specific: relevant for financial institutions and asset managers only. Noted in methodology as 'Environmental Assets Under Management is relevant only for the financial sector'.","[M22] Step 1 — industry relevancy example; scored data point, Innovation category"
"TR.EQUATORPRINCIPLES","Equator Principles Signatory","Boolean","Environmental","Innovation","Positive","Yes/No","Is the company (typically a financial institution) a signatory to the Equator Principles, a risk management framework for assessing environmental and social risk in project finance transactions?","[M22] scored data point, Innovation category"
"TR.ENVPROJECTFINANCING","Environmental Project Financing","Boolean","Environmental","Innovation","Positive","Yes/No","Does the company integrate environmental criteria into its project financing decisions, applying environmental impact assessments in lending or investment activities? Relevant for banks and project financiers.","[M22] scored data point, Innovation category"
"TR.ESGASSETSUNDERMANAGEMENT","ESG Assets Under Management","Numeric","Environmental","Innovation","Positive","USD","Total value of assets under management subject to ESG integration, negative/positive screening, or impact investing mandates. Relevant for asset managers, pension funds, and insurers.","[M22] scored data point, Innovation category"
"TR.ENERGYUSETOTAL","Total Energy Consumption","Numeric","Environmental","Resource Use","Negative","Gigajoules (GJ)","Total energy consumed by the company from all sources (direct and indirect). Proxy variable for the Resource Use category materiality matrix (Energy theme). Listed as TR.AnalyticEnergyUse in the materiality matrix.","[GRI 302-1]; [M22] materiality matrix — 'Energy' theme proxy (TR.AnalyticEnergyUse)"
"TR.ENERGYPURCHASEDDIRECT","Direct Energy Purchased","Numeric","Environmental","Resource Use","Negative","Gigajoules (GJ)","Total energy purchased and consumed directly by the company (e.g. diesel, natural gas, coal for own use).","[GRI 302-1]; [M22]"
"TR.ENERGYPRODUCEDDIRECT","Direct Energy Produced","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ)","Total energy produced on-site by the company from its own generation assets (e.g. on-site solar, CHP, biomass boilers).","[GRI 302-1]; [M22]"
"TR.ELECTRICITYPURCHASED","Electricity Purchased","Numeric","Environmental","Resource Use","Negative","Gigajoules (GJ) or MWh","Total electricity purchased from external grids or providers. Represents Scope 2 energy consumption under the GHG Protocol.","[GRI 302-2]; [M22]"
"TR.ELECTRICITYPRODUCED","Electricity Produced On-Site","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ) or MWh","Total electricity generated on-site from the company's own power generation assets.","[GRI 302-1]; [M22]"
"TR.TOTALENERGYUSEDATAFROMPROPERTIES","Total Energy Use from Properties","Numeric","Environmental","Resource Use","Negative","Gigajoules (GJ) or kWh","Total energy consumed across the company's owned and leased property portfolio. Relevant for real estate companies and large corporate occupiers.","[GRI 302-1]; [M22]"
"TR.RENEWENERGYPURCHASED","Renewable Energy Purchased","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ) or MWh","Total renewable energy purchased by the company, including electricity from renewable sources via PPAs, RECs, or direct grid supply.","[GRI 302-1]; [M22]"
"TR.RENEWENERGYPRODUCED","Renewable Energy Produced On-Site","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ) or MWh","Total renewable energy generated by the company from its own on-site installations (solar PV, wind, biomass, geothermal).","[GRI 302-1]; [M22]"
"TR.RENEWENERGYUSE","Total Renewable Energy Used","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ) or MWh","Total renewable energy consumed (purchased + produced on-site).","[GRI 302-1]; [M22]"
"TR.TOTALRENEWABLEENERGY","Total Renewable Energy (Consolidated)","Numeric","Environmental","Resource Use","Positive","Gigajoules (GJ) or MWh","Consolidated total renewable energy consumed by the company. May be equivalent to TR.RENEWENERGYUSE; used as the top-line renewable energy figure when source-level breakdown is not available.","[GRI 302-1]; [M22]"
"TR.ELECTRICITYPRODUCEDFROMBIOMASS","Electricity Produced from Biomass","Numeric","Environmental","Resource Use","Positive","MWh","Electricity generated from biomass combustion or biogas. Relevant for utilities, waste management, and forestry companies.","[GRI 302-1]; [M22]"
"TR.ELECTRICITYPRODUCEDFROMSOLAR","Electricity Produced from Solar Energy","Numeric","Environmental","Resource Use","Positive","MWh","Electricity generated from solar photovoltaic (PV) or concentrated solar power (CSP) installations.","[GRI 302-1]; [M22]"
"TR.RENEWABLEELECTRICITYPRODUCEDWITHOUTBIFURCATION","Renewable Electricity (Without Source Breakdown)","Numeric","Environmental","Resource Use","Positive","MWh","Total renewable electricity produced or consumed reported as a consolidated figure without separating by source type.","[GRI 302-1]; [M22]"
"TR.POLICYRESOURCEEFFICIENCY","Resource Efficiency Policy","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a formal policy addressing the efficient use of natural resources including energy, water, and materials?","[M22] scored data point, Resource Use category"
"TR.TARGETSRESOURCEUSE","Resource Use Reduction Targets","Boolean","Environmental","Resource Use","Positive","Yes/No","Has the company set specific, measurable targets for reducing consumption of key natural resources (energy, water, or raw materials)?","[M22] scored data point, Resource Use category"
"TR.ENERGYCONSUMPTIONEXTERNALASSURANCE","Energy Consumption External Assurance","Boolean","Environmental","Resource Use","Positive","Yes/No","Has the company's energy consumption data been externally verified or assured by an independent third party?","[M22] scored data point, Resource Use category"
