Instrument,Year,AsOfDate,Currency,MarketCap_EUR
LPPP.WA,2016,2016-12-31,EUR,2291319935.14571
FORTUM.HE,2016,2016-12-31,EUR,12807535274.1093
BAYGn.DE,2016,2016-12-31,EUR,82860174104.3987
QLT.L,2016,2016-12-31,EUR,
SAPG.DE,2016,2016-12-31,EUR,102068476814.029
AAF.L,2016,2016-12-31,EUR,
LUNDb.ST,2016,2016-12-31,EUR,5863373479.47843
PEO.WA,2016,2016-12-31,EUR,7596337015.98815
STMMI.MI,2016,2016-12-31,EUR,9843602650.6
PUIGb.MC,2016,2016-12-31,EUR,
SCHN.PA,2016,2016-12-31,EUR,38870541272.4417
DSV.CO,2016,2016-12-31,EUR,8179508016.20117
JD.L,2016,2016-12-31,EUR,3651612999.80062
GMAB.CO,2016,2016-12-31,EUR,9674796528.41358
SCYR.MC,2016,2016-12-31,EUR,1165523684.04468
EMII.MI,2016,2016-12-31,EUR,2536493554.08979
FTKn.DE,2016,2016-12-31,EUR,231149545.0
ENI.MI,2016,2016-12-31,EUR,56838658561.2
HUBN.S,2016,2016-12-31,EUR,1058793946.83027
INDT.ST,2016,2016-12-31,EUR,2290950077.57548
AMV0n.DE,2016,2016-12-31,EUR,
KGH.WA,2016,2016-12-31,EUR,4174584209.52922
BCU.MI,2016,2016-12-31,EUR,1397400000.0
MAP.MC,2016,2016-12-31,EUR,8930704491.7
DLN.L,2016,2016-12-31,EUR,3404176111.15639
IG.MI,2016,2016-12-31,EUR,3086043388.30128
SOGN.PA,2016,2016-12-31,EUR,37882862040.435
LOTB.BR,2016,2016-12-31,EUR,1997928841.35
UCB.BR,2016,2016-12-31,EUR,11917361665.66
G1AG.DE,2016,2016-12-31,EUR,7481336674.74
GLEN.L,2016,2016-12-31,EUR,46264304251.6188
LOOMIS.ST,2016,2016-12-31,EUR,2082027181.53123
BMED.MI,2016,2016-12-31,EUR,5111512458.72
UHR.S,2016,2016-12-31,EUR,16294189263.3947
TPRO.MI,2016,2016-12-31,EUR,
LHAG.DE,2016,2016-12-31,EUR,5895384428.45851
DRX.L,2016,2016-12-31,EUR,1838802382.70993
BCVN.S,2016,2016-12-31,EUR,5203738943.34969
EQNR.OL,2016,2016-12-31,EUR,57381747192.0729
BKGH.L,2016,2016-12-31,EUR,4131189439.2987
BAWG.VI,2016,2016-12-31,EUR,
RAND.AS,2016,2016-12-31,EUR,13537729635.6
ANTO.L,2016,2016-12-31,EUR,8000995187.69899
VOWG_p.DE,2016,2016-12-31,EUR,69982955404.95
OREP.PA,2016,2016-12-31,EUR,97093988085.6
R3NK.DE,2016,2016-12-31,EUR,
ICAG.L,2016,2016-12-31,EUR,11101106202.4646
REP.MC,2016,2016-12-31,EUR,20238892200.1824
DHER.DE,2016,2016-12-31,EUR,
ORSTED.CO,2016,2016-12-31,EUR,15253613850.581
EVKn.DE,2016,2016-12-31,EUR,13376530000.0
FREG.DE,2016,2016-12-31,EUR,40914769899.67
SECUb.ST,2016,2016-12-31,EUR,5531433337.45551
TEL2b.ST,2016,2016-12-31,EUR,3250970574.10703
JYSK.CO,2016,2016-12-31,EUR,4395684426.6206
AALB.AS,2016,2016-12-31,EUR,3442361688.26
GJFG.OL,2016,2016-12-31,EUR,7467890417.42653
MANTA.HE,2016,2016-12-31,EUR,
RIO.L,2016,2016-12-31,EUR,62712597742.1938
HLN.L,2016,2016-12-31,EUR,
MAERSKb.CO,2016,2016-12-31,EUR,26552653640.9377
RKT.L,2016,2016-12-31,EUR,53706131891.2247
VALMT.HE,2016,2016-12-31,EUR,2143064051.7
SGEF.PA,2016,2016-12-31,EUR,38612572406.55
ENX.PA,2016,2016-12-31,EUR,2728248778.75111
ALVG.DE,2016,2016-12-31,EUR,71886100000.0
LSEG.L,2016,2016-12-31,EUR,11948552575.2885
QIA.DE,2016,2016-12-31,EUR,5974070681.92968
HOLN.S,2016,2016-12-31,EUR,15427789573.7622
GASI.MI,2016,2016-12-31,EUR,22384328770.3
ICGIN.L,2016,2016-12-31,EUR,2408930888.08791
HUH1V.HE,2016,2016-12-31,EUR,3855666575.3
ENT.L,2016,2016-12-31,EUR,2154932105.05823
PHP.L,2016,2016-12-31,EUR,777454693.196371
LTMC.MI,2016,2016-12-31,EUR,
SOBIV.ST,2016,2016-12-31,EUR,3109299849.86518
SN.L,2016,2016-12-31,EUR,12486111620.0374
SEBa.ST,2016,2016-12-31,EUR,22186254846.442
SWEDa.ST,2016,2016-12-31,EUR,25585144246.8941
MOWI.OL,2016,2016-12-31,EUR,7784701806.29493
RECI.MI,2016,2016-12-31,EUR,5711208010.36
SDFGn.DE,2016,2016-12-31,EUR,4354350000.0
BALF.L,2016,2016-12-31,EUR,2197714843.75821
ALLN.S,2016,2016-12-31,EUR,2242829211.66976
BOLL.PA,2016,2016-12-31,EUR,9794319823.09
BUCN.S,2016,2016-12-31,EUR,2434456224.43763
FMEG.DE,2016,2016-12-31,EUR,25253631220.2
AXFO.ST,2016,2016-12-31,EUR,3135104159.61984
MICP.PA,2016,2016-12-31,EUR,19210723839.4
ATCOa.ST,2016,2016-12-31,EUR,25459670173.9637
NEXS.PA,2016,2016-12-31,EUR,2137113746.445
SJP.L,2016,2016-12-31,EUR,6427540913.74757
BLND.L,2016,2016-12-31,EUR,7599756867.05041
UPM.HE,2016,2016-12-31,EUR,12532114212.52
TELIA.ST,2016,2016-12-31,EUR,16501962918.4424
NIBEb.ST,2016,2016-12-31,EUR,3507847734.31229
SAGAb.ST,2016,2016-12-31,EUR,1613243571.6715
AAL.L,2016,2016-12-31,EUR,16028335959.7486
BNZL.L,2016,2016-12-31,EUR,8380275307.26864
BNPP.PA,2016,2016-12-31,EUR,75220097211.9
ALCC.S,2016,2016-12-31,EUR,
AMUN.PA,2016,2016-12-31,EUR,8441609668.97086
SFZN.S,2016,2016-12-31,EUR,843547308.71454
PKO.WA,2016,2016-12-31,EUR,7996908153.35796
RACE.MI,2016,2016-12-31,EUR,10898500643.8
LEGn.DE,2016,2016-12-31,EUR,4732795056.5
PRU.L,2016,2016-12-31,EUR,41059372420.2248
KMAR.OL,2016,2016-12-31,EUR,
BIRG.I,2016,2016-12-31,EUR,8090818770.0
MONC.MI,2016,2016-12-31,EUR,4203531763.2
TEPRF.PA,2016,2016-12-31,EUR,5617371600.0
VIE.PA,2016,2016-12-31,EUR,9211015513.75967
EXPN.L,2016,2016-12-31,EUR,17622531060.8562
HEIG.DE,2016,2016-12-31,EUR,17760258856.27
UMI.BR,2016,2016-12-31,EUR,5996480000.0
ITPG.MI,2016,2016-12-31,EUR,1723559224.02
VAR.OL,2016,2016-12-31,EUR,
TRYG.CO,2016,2016-12-31,EUR,4757582711.46779
CAPP.PA,2016,2016-12-31,EUR,13838373614.9
SYENS.BR,2016,2016-12-31,EUR,
BOUY.PA,2016,2016-12-31,EUR,11876073992.195
SSABb.ST,2016,2016-12-31,EUR,3302969539.48781
WBSV.VI,2016,2016-12-31,EUR,1979738339.58
ENR1n.DE,2016,2016-12-31,EUR,
KOG.OL,2016,2016-12-31,EUR,1236337566.38321
AMA.MC,2016,2016-12-31,EUR,19058061435.58
SHEL.AS,2016,2016-12-31,EUR,219996007700.504
ZEG.L,2016,2016-12-31,EUR,242384926.902051
DTGGe.DE,2016,2016-12-31,EUR,
PSON.L,2016,2016-12-31,EUR,7890528306.89454
KEMIRA.HE,2016,2016-12-31,EUR,1902946323.25
FHZN.S,2016,2016-12-31,EUR,5500205118.78834
BATS.L,2016,2016-12-31,EUR,101134534755.196
AVANZ.ST,2016,2016-12-31,EUR,1147129409.22929
FLS.CO,2016,2016-12-31,EUR,2063638268.92245
GALD.S,2016,2016-12-31,EUR,
SCAb.ST,2016,2016-12-31,EUR,3354418314.71227
ISP.MI,2016,2016-12-31,EUR,38824757560.08
SKFb.ST,2016,2016-12-31,EUR,7954521152.54791
VLLP.PA,2016,2016-12-31,EUR,3062549015.28233
NDAFI.HE,2016,2016-12-31,EUR,43010489379.78
ROCKb.CO,2016,2016-12-31,EUR,3624953946.01388
LISP.S,2016,2016-12-31,EUR,12896942341.0409
RS1R.L,2016,2016-12-31,EUR,2507120287.03887
RUBF.PA,2016,2016-12-31,EUR,3503169466.5381
ENGIE.PA,2016,2016-12-31,EUR,27541449139.3077
SGRO.L,2016,2016-12-31,EUR,4423236239.86065
EVDG.DE,2016,2016-12-31,EUR,2904000000.0
HSX.L,2016,2016-12-31,EUR,3437707286.59105
YAR.OL,2016,2016-12-31,EUR,9893175757.37844
ACCP.PA,2016,2016-12-31,EUR,10168076714.61
ADDTb.ST,2016,2016-12-31,EUR,997630959.931576
BOL.ST,2016,2016-12-31,EUR,6044004740.36217
HSBA.L,2016,2016-12-31,EUR,151947991932.291
HOCM.L,2016,2016-12-31,EUR,1244801342.22222
CBKG.DE,2016,2016-12-31,EUR,9392682255.0
SAF.PA,2016,2016-12-31,EUR,28579037460.05
ENEI.MI,2016,2016-12-31,EUR,42923722732.012
SHLG.DE,2016,2016-12-31,EUR,
GL9.I,2016,2016-12-31,EUR,4678923010.62
BMPS.MI,2016,2016-12-31,EUR,442157116.79204
MWDP.PA,2016,2016-12-31,EUR,5390777820.5
ADSGn.DE,2016,2016-12-31,EUR,31654408941.8
UBSG.S,2016,2016-12-31,EUR,60191573544.5736
ELI.BR,2016,2016-12-31,EUR,3013503737.52764
HNRGn.DE,2016,2016-12-31,EUR,12505922795.8
HIAB.HE,2016,2016-12-31,EUR,1624948408.82394
LIGHT.AS,2016,2016-12-31,EUR,3545250000.0
DGE.L,2016,2016-12-31,EUR,62132246976.6205
GBLB.BR,2016,2016-12-31,EUR,12881232051.21
LGEN.L,2016,2016-12-31,EUR,17439467586.4962
SAMPO.HE,2016,2016-12-31,EUR,20701631347.2
TKAG.DE,2016,2016-12-31,EUR,9758152226.74657
SUBC.OL,2016,2016-12-31,EUR,3990644391.81058
EDP.LS,2016,2016-12-31,EUR,10666122671.5278
RR.L,2016,2016-12-31,EUR,13900457511.7153
ASRNL.AS,2016,2016-12-31,EUR,3384000000.0
MBGn.DE,2016,2016-12-31,EUR,63780218780.3879
BYG.L,2016,2016-12-31,EUR,1241090498.12557
INPST.AS,2016,2016-12-31,EUR,
BKWB.S,2016,2016-12-31,EUR,2424069055.21472
TUI1n.DE,2016,2016-12-31,EUR,8042413965.11219
CARLb.CO,2016,2016-12-31,EUR,12581616417.4442
AIXGn.DE,2016,2016-12-31,EUR,366162124.83
VATN.S,2016,2016-12-31,EUR,1525462597.2373
MRL.MC,2016,2016-12-31,EUR,4920848606.25
ERICb.ST,2016,2016-12-31,EUR,18751459935.0057
AD.AS,2016,2016-12-31,EUR,25721955710.275
TE.PA,2016,2016-12-31,EUR,
SFSN.S,2016,2016-12-31,EUR,2934334355.82822
ABBN.S,2016,2016-12-31,EUR,43474509549.8219
SBNOR.OL,2016,2016-12-31,EUR,315124331.85151
DBKGn.DE,2016,2016-12-31,EUR,24199360529.9252
BNRGn.DE,2016,2016-12-31,EUR,8211675000.0
BZU.MI,2016,2016-12-31,EUR,3745542496.27228
ABVX.PA,2016,2016-12-31,EUR,61090400.7
NESTE.HE,2016,2016-12-31,EUR,9535643338.99993
TSCO.L,2016,2016-12-31,EUR,15625453227.0393
DKSH.S,2016,2016-12-31,EUR,4276797612.67541
ITX.MC,2016,2016-12-31,EUR,101602855200.0
ADML.L,2016,2016-12-31,EUR,5022090786.28928
MOBN.S,2016,2016-12-31,EUR,1388003659.03301
PGHN.S,2016,2016-12-31,EUR,12045653128.8344
VSURE.ST,2016,2016-12-31,EUR,
SALM.OL,2016,2016-12-31,EUR,3228087440.68068
CARR.PA,2016,2016-12-31,EUR,17350362880.7992
DHLn.DE,2016,2016-12-31,EUR,38964758726.2
BAER.S,2016,2016-12-31,EUR,9986093345.49168
STAN.L,2016,2016-12-31,EUR,26184200823.2391
NESN.S,2016,2016-12-31,EUR,211771923203.272
SPMI.MI,2016,2016-12-31,EUR,5651737647.15377
LVMH.PA,2016,2016-12-31,EUR,92195025757.2
DNB.OL,2016,2016-12-31,EUR,25952652850.4897
VOES.VI,2016,2016-12-31,EUR,6635821752.59
GEBN.S,2016,2016-12-31,EUR,14211426749.3358
RAAG.DE,2016,2016-12-31,EUR,4925484000.0
BRBY.L,2016,2016-12-31,EUR,7760641919.29918
TLIT.MI,2016,2016-12-31,EUR,17257705573.815
KNEBV.HE,2016,2016-12-31,EUR,22541074904.88
SAN.MC,2016,2016-12-31,EUR,72140156596.2229
PRTP.PA,2016,2016-12-31,EUR,25430987427.2357
NDXG.DE,2016,2016-12-31,EUR,1981835504.68422
PNDORA.CO,2016,2016-12-31,EUR,14640893492.4956
AYV.PA,2016,2016-12-31,EUR,
ZURN.S,2016,2016-12-31,EUR,40316647815.3235
ABI.BR,2016,2016-12-31,EUR,204145363470.3
HEXAb.ST,2016,2016-12-31,EUR,11955105446.3983
ASMI.AS,2016,2016-12-31,EUR,2475305967.7447
HEIN.AS,2016,2016-12-31,EUR,41068986306.9
KGF.L,2016,2016-12-31,EUR,9009285540.42513
AVOL.S,2016,2016-12-31,EUR,6423952728.42711
MNG.L,2016,2016-12-31,EUR,
BAMI.MI,2016,2016-12-31,EUR,3787955315.0
HAGG.DE,2016,2016-12-31,EUR,
A2.MI,2016,2016-12-31,EUR,3953726459.574
TPE.WA,2016,2016-12-31,EUR,1139057916.15372
BEIJb.ST,2016,2016-12-31,EUR,907182912.274646
FNTGn.DE,2016,2016-12-31,EUR,3451148847.68206
CLNX.MC,2016,2016-12-31,EUR,3189119946.77467
VWS.CO,2016,2016-12-31,EUR,14304774996.3
KPN.AS,2016,2016-12-31,EUR,12272711904.336
ITRK.L,2016,2016-12-31,EUR,6611478367.24226
TTEF.PA,2016,2016-12-31,EUR,118492643667.2
MTXGn.DE,2016,2016-12-31,EUR,5756400000.0
DSFIR.AS,2016,2016-12-31,EUR,
AGES.BR,2016,2016-12-31,EUR,8173369575.54
SCMN.S,2016,2016-12-31,EUR,21930305957.8947
VID.MC,2016,2016-12-31,EUR,1178742446.97165
TEF.MC,2016,2016-12-31,EUR,44584566263.2523
PIRC.MI,2016,2016-12-31,EUR,
PHG.AS,2016,2016-12-31,EUR,27331554543.8036
DAST.PA,2016,2016-12-31,EUR,18758284544.88
LAND.L,2016,2016-12-31,EUR,9108781966.09785
INF.L,2016,2016-12-31,EUR,6609847080.61913
TENR.MI,2016,2016-12-31,EUR,20364260317.5
III.L,2016,2016-12-31,EUR,8146465922.9129
RMV.L,2016,2016-12-31,EUR,4325234915.96356
CCH.L,2016,2016-12-31,EUR,7131947238.74067
PSHG_p.DE,2016,2016-12-31,EUR,16194500000.0
CWK.L,2016,2016-12-31,EUR,1381727129.93558
ACS.MC,2016,2016-12-31,EUR,9641326586.56983
BKT.MC,2016,2016-12-31,EUR,4809550546.08164
ACPP.WA,2016,2016-12-31,EUR,1021957072.84063
GETP.PA,2016,2016-12-31,EUR,5066050000.0
STLAM.MI,2016,2016-12-31,EUR,10997721223.6855
KCRA.HE,2016,2016-12-31,EUR,2123378670.4977
MBK.WA,2016,2016-12-31,EUR,3236284001.64199
ELISA.HE,2016,2016-12-31,EUR,5230894381.98
SBRY.L,2016,2016-12-31,EUR,6063400404.77629
SWECb.ST,2016,2016-12-31,EUR,2328514606.00132
SGSN.S,2016,2016-12-31,EUR,15331715411.8135
BAB.L,2016,2016-12-31,EUR,5679167494.55155
KNIN.S,2016,2016-12-31,EUR,15230458895.7055
NEXII.MI,2016,2016-12-31,EUR,
DNP.WA,2016,2016-12-31,EUR,
DTEGn.DE,2016,2016-12-31,EUR,76818115892.025
FBK.MI,2016,2016-12-31,EUR,3331361843.64
ISS.CO,2016,2016-12-31,EUR,6070304181.32588
IHG.L,2016,2016-12-31,EUR,8629641346.59995
BESI.AS,2016,2016-12-31,EUR,1269075295.7
GALE.S,2016,2016-12-31,EUR,
SATG_p.DE,2016,2016-12-31,EUR,5339318400.0
SAABb.ST,2016,2016-12-31,EUR,3854737642.59397
BARN.S,2016,2016-12-31,EUR,6339707317.67771
REDE.MC,2016,2016-12-31,EUR,9712386000.0
EMG.L,2016,2016-12-31,EUR,2398039689.48483
ARDS.AS,2016,2016-12-31,EUR,1169656890.12
ROR.L,2016,2016-12-31,EUR,2527696238.69037
UTG.L,2016,2016-12-31,EUR,1547433605.86946
BVI.PA,2016,2016-12-31,EUR,8230040000.0
CFR.S,2016,2016-12-31,EUR,65715049693.2515
KGX.DE,2016,2016-12-31,EUR,5818091987.84268
LAGRb.ST,2016,2016-12-31,EUR,582960061.565102
WRT1V.HE,2016,2016-12-31,EUR,8481360108.63141
TRELb.ST,2016,2016-12-31,EUR,5115555337.50713
SIEGn.DE,2016,2016-12-31,EUR,90378125950.0
JMT.LS,2016,2016-12-31,EUR,9382761910.2
EQTAB.ST,2016,2016-12-31,EUR,
RILBA.CO,2016,2016-12-31,EUR,915778357.663207
SDLF.L,2016,2016-12-31,EUR,3495525304.11991
PZU.WA,2016,2016-12-31,EUR,6511960925.25575
IGG.L,2016,2016-12-31,EUR,2155608916.5699
HIK.L,2016,2016-12-31,EUR,5331360849.0056
EONGn.DE,2016,2016-12-31,EUR,13646820000.0
MTO.L,2016,2016-12-31,EUR,958781095.25635
BAES.L,2016,2016-12-31,EUR,22077193506.8277
BP.L,2016,2016-12-31,EUR,118483769401.784
HOLMb.ST,2016,2016-12-31,EUR,2908035132.56811
GTT.PA,2016,2016-12-31,EUR,1493887003.53
INGP.WA,2016,2016-12-31,EUR,4649196886.89969
TEL.OL,2016,2016-12-31,EUR,21397596172.7859
SHBa.ST,2016,2016-12-31,EUR,24816303298.835
CVO.PA,2016,2016-12-31,EUR,5640159500.43138
LDOF.MI,2016,2016-12-31,EUR,7752996796.95
ADP.PA,2016,2016-12-31,EUR,10098929434.1
IBE.MC,2016,2016-12-31,EUR,39712096916.1178
DCC.L,2016,2016-12-31,EUR,6488901031.86316
WEIR.L,2016,2016-12-31,EUR,4993978848.21109
NKT.CO,2016,2016-12-31,EUR,860828840.202713
UU.L,2016,2016-12-31,EUR,7206237296.34553
ALKb.CO,2016,2016-12-31,EUR,1161133237.71555
CONG.DE,2016,2016-12-31,EUR,25425424178.8116
TBCG.L,2016,2016-12-31,EUR,883553894.301379
ABF.L,2016,2016-12-31,EUR,24622019251.2246
SVT.L,2016,2016-12-31,EUR,6160195308.76625
ALFA.ST,2016,2016-12-31,EUR,6761784371.30442
ALLFG.AS,2016,2016-12-31,EUR,
EDPR.LS,2016,2016-12-31,EUR,5273102839.29
HWDN.L,2016,2016-12-31,EUR,2803213472.63341
ITV.L,2016,2016-12-31,EUR,9623629168.11512
PST.MI,2016,2016-12-31,EUR,8359104000.0
ENAG.MC,2016,2016-12-31,EUR,5840633670.9
MRCG.DE,2016,2016-12-31,EUR,44021260147.5
SHCS.L,2016,2016-12-31,EUR,2811437625.46784
MUVGn.DE,2016,2016-12-31,EUR,29038017629.1
KESKOB.HE,2016,2016-12-31,EUR,4667594943.3
SGOB.PA,2016,2016-12-31,EUR,24607983474.9
LMPL.L,2016,2016-12-31,EUR,1143571178.33846
BASFn.DE,2016,2016-12-31,EUR,81469060157.8
AZMT.MI,2016,2016-12-31,EUR,2312127581.58
SUNB.L,2016,2016-12-31,EUR,
RBIV.VI,2016,2016-12-31,EUR,5175474706.27
SB1NO.OL,2016,2016-12-31,EUR,1731235081.02968
ACKB.BR,2016,2016-12-31,EUR,4409867411.6
SIGNC.S,2016,2016-12-31,EUR,
KBCA.BR,2016,2016-12-31,EUR,3127745987.73
SDZ.S,2016,2016-12-31,EUR,
SRG.MI,2016,2016-12-31,EUR,13883531474.004
AV.L,2016,2016-12-31,EUR,17694853386.5458
ZAB.WA,2016,2016-12-31,EUR,
DIOR.PA,2016,2016-12-31,EUR,34287219029.2902
SIKA.S,2016,2016-12-31,EUR,9842207653.88171
SAVE.ST,2016,2016-12-31,EUR,
ABNd.AS,2016,2016-12-31,EUR,5982530000.0
BC8G.DE,2016,2016-12-31,EUR,2110497858.0
ANA.MC,2016,2016-12-31,EUR,4049395376.0
SUN.S,2016,2016-12-31,EUR,2341751967.97744
LEGD.PA,2016,2016-12-31,EUR,14485674484.8
SOPR.PA,2016,2016-12-31,EUR,2242182958.95
SKAb.ST,2016,2016-12-31,EUR,9530931611.79535
SPX.L,2016,2016-12-31,EUR,3639006145.92784
LONN.S,2016,2016-12-31,EUR,8762356271.27293
CABK.MC,2016,2016-12-31,EUR,19080787318.89
BEIG.DE,2016,2016-12-31,EUR,20631240000.0
GETIb.ST,2016,2016-12-31,EUR,3075126558.00641
STDM.PA,2016,2016-12-31,EUR,5641427628.0
BEAN.S,2016,2016-12-31,EUR,1800586184.04908
INVP.L,2016,2016-12-31,EUR,
PKN.WA,2016,2016-12-31,EUR,8290202141.04048
TW.L,2016,2016-12-31,EUR,5602887526.47623
PAFR.L,2016,2016-12-31,EUR,342836765.655756
NN.AS,2016,2016-12-31,EUR,10837464622.415
AKRBP.OL,2016,2016-12-31,EUR,5781794098.91271
IMCD.AS,2016,2016-12-31,EUR,2143397311.77
THULE.ST,2016,2016-12-31,EUR,1493455213.39825
IFXGn.DE,2016,2016-12-31,EUR,18742710676.35
CAGR.PA,2016,2016-12-31,EUR,33754799678.36
HBANC.S,2016,2016-12-31,EUR,5184871752.82065
TCFP.PA,2016,2016-12-31,EUR,19438724084.88
ABDN.L,2016,2016-12-31,EUR,7657426478.24562
VOPA.AS,2016,2016-12-31,EUR,5784553207.5
SECTb.ST,2016,2016-12-31,EUR,445179227.41558
BALDb.ST,2016,2016-12-31,EUR,3071522965.12969
RENA.PA,2016,2016-12-31,EUR,25165966368.4
VACN.S,2016,2016-12-31,EUR,2454170552.14724
ERST.VI,2016,2016-12-31,EUR,11797186933.0
CTEC.L,2016,2016-12-31,EUR,5522494040.45054
PERP.PA,2016,2016-12-31,EUR,27431321533.2
AMBUb.CO,2016,2016-12-31,EUR,1649946746.07712
UNPI.MI,2016,2016-12-31,EUR,2512592225.016
BARC.L,2016,2016-12-31,EUR,46268646214.142
TEMN.S,2016,2016-12-31,EUR,4691865784.75583
ORK.OL,2016,2016-12-31,EUR,8873673624.44346
NOVN.S,2016,2016-12-31,EUR,154618938561.157
UMG.AS,2016,2016-12-31,EUR,
WTB.L,2016,2016-12-31,EUR,8147697832.67272
BAKKA.OL,2016,2016-12-31,EUR,1848853458.98659
MYCR.ST,2016,2016-12-31,EUR,1016619365.04578
NOD.OL,2016,2016-12-31,EUR,628753759.0847
SCOR.PA,2016,2016-12-31,EUR,6391989315.815
DB1Gn.DE,2016,2016-12-31,EUR,14857140000.0
DANO.PA,2016,2016-12-31,EUR,39510934080.0
BFT.WA,2016,2016-12-31,EUR,413721453.713804
WPP.L,2016,2016-12-31,EUR,27494117696.5187
HRMS.PA,2016,2016-12-31,EUR,41261240728.4011
SQN.S,2016,2016-12-31,EUR,348633114.189571
HMb.ST,2016,2016-12-31,EUR,43907436518.0012
RYA.I,2016,2016-12-31,EUR,17497366007.22
BIOX.PA,2016,2016-12-31,EUR,5624124995.11518
INGA.AS,2016,2016-12-31,EUR,52281456649.72
HRA.MI,2016,2016-12-31,EUR,3306776013.9
IDR.MC,2016,2016-12-31,EUR,1730777623.755
EXOR.AS,2016,2016-12-31,EUR,10138870000.0
BTRW.L,2016,2016-12-31,EUR,5055766488.76289
ARGX.BR,2016,2016-12-31,EUR,326854018.96
LIFCOb.ST,2016,2016-12-31,EUR,2096641619.25795
KSP.I,2016,2016-12-31,EUR,4667066653.0
EZJ.L,2016,2016-12-31,EUR,4622863849.52303
VNAn.DE,2016,2016-12-31,EUR,14609114497.505
AIRP.PA,2016,2016-12-31,EUR,40982664922.8251
JMAT.L,2016,2016-12-31,EUR,7252352901.34652
BMEB.L,2016,2016-12-31,EUR,2376718553.33802
REY.MI,2016,2016-12-31,EUR,1110184125.9
BCP.LS,2016,2016-12-31,EUR,1028506145.55813
QQ.L,2016,2016-12-31,EUR,1745992162.29563
INCH.L,2016,2016-12-31,EUR,3510835293.1016
AKZO.AS,2016,2016-12-31,EUR,12071123018.4003
WIHL.ST,2016,2016-12-31,EUR,1378852964.59784
NEKG.DE,2016,2016-12-31,EUR,2096707882.5
ESSITYb.ST,2016,2016-12-31,EUR,
ACLN.S,2016,2016-12-31,EUR,
SAND.ST,2016,2016-12-31,EUR,14249759535.834
METSO.HE,2016,2016-12-31,EUR,937582039.04
GBFG.DE,2016,2016-12-31,EUR,1701972216.46
ZALG.DE,2016,2016-12-31,EUR,9124977808.54
ANDR.VI,2016,2016-12-31,EUR,5010200000.0
FER.MC,2016,2016-12-31,EUR,12607154345.7581
INVEb.ST,2016,2016-12-31,EUR,27279055618.6384
TLXGn.DE,2016,2016-12-31,EUR,8076884406.3
PRY.MI,2016,2016-12-31,EUR,5409352617.52323
SOON.S,2016,2016-12-31,EUR,7587052068.64951
BT.L,2016,2016-12-31,EUR,43509397970.6925
FPE3_p.DE,2016,2016-12-31,EUR,5409532500.0
EUFI.PA,2016,2016-12-31,EUR,
AKE.PA,2016,2016-12-31,EUR,7065517596.26
AZN.L,2016,2016-12-31,EUR,66058938681.3829
CNA.L,2016,2016-12-31,EUR,15202818495.0166
RXL.PA,2016,2016-12-31,EUR,4330672428.48532
ASML.AS,2016,2016-12-31,EUR,47020680109.8
COLOb.CO,2016,2016-12-31,EUR,14118154417.3487
ESLX.PA,2016,2016-12-31,EUR,23437375260.2
GSK.L,2016,2016-12-31,EUR,72893307967.7917
PUBP.PA,2016,2016-12-31,EUR,13732362917.4783
REL.L,2016,2016-12-31,EUR,
ELE.MC,2016,2016-12-31,EUR,21413261566.325
ORAN.PA,2016,2016-12-31,EUR,38757024647.43
RBREW.CO,2016,2016-12-31,EUR,2011779174.05001
SY1G.DE,2016,2016-12-31,EUR,7626488722.5
CMBN.S,2016,2016-12-31,EUR,2101769631.90184
ORNBV.HE,2016,2016-12-31,EUR,6057663171.96
BBOXT.L,2016,2016-12-31,EUR,1805527393.3892
EBP.WA,2016,2016-12-31,EUR,7189036979.74272
EDEN.PA,2016,2016-12-31,EUR,4450432648.025
HOTG.DE,2016,2016-12-31,EUR,8757660000.0
TEGG.DE,2016,2016-12-31,EUR,1845151608.30919
AG1G.DE,2016,2016-12-31,EUR,
ASSAb.ST,2016,2016-12-31,EUR,19774010466.577
GIVN.S,2016,2016-12-31,EUR,16066520835.1325
VIS.MC,2016,2016-12-31,EUR,2215306003.2597
VOD.L,2016,2016-12-31,EUR,63366862410.754
TRN.MI,2016,2016-12-31,EUR,8908284544.0
GF.S,2016,2016-12-31,EUR,3258807528.41595
SMIN.L,2016,2016-12-31,EUR,6571628608.08815
MNDI.L,2016,2016-12-31,EUR,
VERB.VI,2016,2016-12-31,EUR,5268558878.19
BAVA.CO,2016,2016-12-31,EUR,1092140818.88959
STB.OL,2016,2016-12-31,EUR,2348918243.68458
AUTOA.L,2016,2016-12-31,EUR,4747250470.98542
VZN.S,2016,2016-12-31,EUR,2306283844.58078
FRO.OL,2016,2016-12-31,EUR,1057646944.44619
RTO.L,2016,2016-12-31,EUR,4787402469.78198
LOIM.PA,2016,2016-12-31,EUR,10802944498.4427
SUNN.S,2016,2016-12-31,EUR,
SLHN.S,2016,2016-12-31,EUR,8780043561.96403
IPN.PA,2016,2016-12-31,EUR,5704648153.92
FRES.L,2016,2016-12-31,EUR,10653282382.806
IMB.L,2016,2016-12-31,EUR,39850278157.4718
RWEG.DE,2016,2016-12-31,EUR,6632144248.70027
TUB.BR,2016,2016-12-31,EUR,2659551300.6
VLOF.PA,2016,2016-12-31,EUR,13157655067.62
WLSNc.AS,2016,2016-12-31,EUR,10501478066.115
LLOY.L,2016,2016-12-31,EUR,53833669031.9021
HEIO.AS,2016,2016-12-31,EUR,19073357724.96
